category,city,district,name,lng,lat,error
渡口类,南京市,秦淮区,桃叶渡,118.794286,32.022937,
渡口类,南京市,六合区,瓜埠古渡,118.891468,32.263271,
渡口类,无锡市,江阴市,黄田港,120.249305,31.921205,
渡口类,常州市,天宁区,白云渡,119.999439,31.792320,
渡口类,常州市,钟楼区,西蠡渡,119.902081,31.802608,
渡口类,常州市,武进区,孙第桥码头,119.942441,31.701252,
渡口类,常州市,溧阳市,南渡,119.331379,31.444487,
渡口类,苏州市,虎丘区,横塘渡,120.578981,31.267517,
渡口类,苏州市,吴中区,三山码头,120.295973,31.029852,
渡口类,苏州市,姑苏区,万人码头,120.605081,31.312938,
渡口类,苏州市,吴江区,师俭堂码头,120.504022,30.912746,
渡口类,苏州市,吴江区,胥滩古渡,120.645728,31.138525,
渡口类,苏州市,张家港市,黄泗浦港,120.555979,31.876739,
渡口类,苏州市,太仓市,刘家港,121.258998,31.557473,
渡口类,苏州市,太仓市,南码头,121.130344,31.458043,
渡口类,南通市,崇川区,陈桥渡口,120.802087,32.094989,
渡口类,南通市,海门区,青龙港,121.239140,31.862003,
渡口类,连云港市,连云区,西连岛码头,119.448745,34.774478,
渡口类,连云港市,连云区,西市码头,119.338901,34.760317,
渡口类,连云港市,赣榆区,青口港,119.137897,34.822681,
渡口类,淮安市,淮安区,平桥渡,119.216074,33.379821,
渡口类,淮安市,淮阴区,王家营渡口,119.025311,33.623669,
渡口类,淮安市,清江浦区,臧家码头,119.053141,33.585156,
渡口类,盐城市,东台市,月塘湾,120.476076,32.682133,
渡口类,扬州市,广陵区,东关古渡,119.452939,32.399298,
渡口类,扬州市,邗江区,瓜洲古渡,119.385306,32.250678,
渡口类,扬州市,宝应县,古邗沟码头,119.621588,33.312060,
渡口类,镇江市,润州区,西津渡,119.429376,32.214195,
渡口类,镇江市,润州区,小码头,119.411383,32.195146,
渡口类,镇江市,润州区,玉山大码头,119.411383,32.195146,
渡口类,镇江市,润州区,袁公义渡,119.411383,32.195146,
渡口类,镇江市,丹徒区,高资港,119.299023,32.179552,
渡口类,镇江市,句容市,下蜀港,119.190950,32.169333,
渡口类,泰州市,高港区,龙窝码头,119.881198,32.286248,
渡口类,宿迁市,宿城区,东关口,118.242048,33.963891,
水利设施类,南京市,玄武区,武庙闸,118.797779,32.048644,
水利设施类,南京市,秦淮区,东水关,118.799563,32.022101,
水利设施类,南京市,江宁区,方山埭,118.858522,31.895368,
水利设施类,南京市,高淳区,水阳江水牮,118.772966,31.266931,
水利设施类,无锡市,梁溪区,黄埠墩,120.282975,31.589730,
水利设施类,无锡市,宜兴市,大石坝,119.821873,31.338429,
水利设施类,徐州市,云龙区,矶嘴坝,117.251515,34.253638,
水利设施类,徐州市,贾汪区,解台船闸,117.381168,34.317450,
水利设施类,徐州市,铜山区,蔺家坝,117.179892,34.398537,
水利设施类,常州市,钟楼区,新闸,119.901500,31.814883,
水利设施类,苏州市,相城区,望亭水利枢纽,120.445991,31.419322,
水利设施类,苏州市,姑苏区,白公堤,120.617367,31.335648,
水利设施类,苏州市,姑苏区,盘门水门,120.617433,31.288607,
水利设施类,苏州市,吴江区,瓜泾口水利枢纽,120.645728,31.138525,
水利设施类,苏州市,常熟市,白茆闸,121.041387,31.702838,
水利设施类,苏州市,常熟市,福山闸,120.762756,31.800776,
水利设施类,苏州市,常熟市,望虞闸,120.799507,31.751430,
水利设施类,苏州市,太仓市,海塘,121.292927,31.520345,
水利设施类,南通市,崇川区,陆洪闸,120.857253,32.010277,
水利设施类,南通市,崇川区,唐家闸,120.805244,32.062233,
水利设施类,南通市,如皋市,东水关,120.570200,32.395712,
水利设施类,淮安市,淮安区,古末口,119.150006,33.528463,
水利设施类,淮安市,淮安区,北辰堰,119.141183,33.502960,
水利设施类,淮安市,淮安区,板闸,119.134790,33.536490,
水利设施类,淮安市,淮阴区,高家堰,118.880450,33.424166,
水利设施类,淮安市,淮阴区,双金闸,118.891997,33.562126,
水利设施类,淮安市,淮阴区,古清口,118.951416,33.641666,
水利设施类,淮安市,淮阴区,天妃坝,119.034895,33.632588,
水利设施类,淮安市,清江浦区,清江大闸,119.058799,33.555209,
水利设施类,盐城市,大丰区,草堰石闸,120.294891,32.942464,
水利设施类,扬州市,广陵区,龙头关,119.438029,32.386302,
水利设施类,扬州市,广陵区,茱萸湾闸,119.489000,32.434904,
水利设施类,扬州市,江都区,江都水利枢纽,119.614289,32.399438,
水利设施类,扬州市,江都区,邵伯船闸,119.519324,32.521422,
水利设施类,扬州市,宝应县,刘堡减水闸,119.351945,33.152855,
水利设施类,扬州市,仪征市,东门水门,119.184468,32.272833,
水利设施类,扬州市,高邮市,平津堰,119.458920,32.781606,
水利设施类,扬州市,高邮市,子婴闸,119.458920,32.781606,
水利设施类,镇江市,润州区,京口闸,119.441342,32.213478,
水利设施类,镇江市,句容市,破冈渎,119.168693,31.945732,
水利设施类,镇江市,句容市,上容渎,119.168693,31.945732,
水利设施类,泰州市,海陵区,南水门,119.923825,32.492480,
水利设施类,泰州市,海陵区,滕坝,119.923825,32.492480,
水利设施类,宿迁市,宿豫区,刘老涧船闸,118.449158,33.827586,
水利设施类,宿迁市,泗洪县,浮山堰,118.223941,33.476575,
